product_code,type,brands,lens_width,location,stock,cost_price,sale_price_s,sale_price_a,mrp,comments
RAYBAN SHEET ,,,,"CT10-1,T28-9,D9-1",11.0,,600.0,,600.0,
TAG HEUER SHEET,,,,"D9-2,T12S3-3",5.0,,500.0,,500.0,
BOSS SHEET,,,,"C10-1,D9-1",2.0,,500.0,,500.0,F
MONT BLANC SHEET,,,,"T12S2-4,CT11-2",6.0,,500.0,,500.0,
KIDS METAL,,,,"C6R3-51,CT13-2",53.0,,350.0,,350.0,F
RAYBAN FULL AVIATOR(LANDERS),,,,"D10-1,C8R2-42",43.0,,500.0,,500.0,
BAMBOO RAYBAN GOGGLES,,,,"D6-3,C9-52",53.0,,200.0,,200.0,
RAYBAN BLACK GOGGLES,exx,,,"C10-24,D6-1,D7-1",26.0,,550.0,,550.0,
RAYBAN GOLDEN GOGGLES,,,,"C10-24,D6-1",25.0,,550.0,,550.0,
RAYBAN SILVER AVIATOR,,,,"C10-5,D7-1",6.0,,550.0,,550.0,
RAYBAN BROWN AVIATOR,,,,"C10-5,D6-1,D7-1",7.0,,550.0,,550.0,
ESCAPE LEAGUE METAL,,,,DS4-2,2.0,,450.0,,450.0,
TIMKING METAL,,,,NA,0.0,,400.0,,400.0,
TOP GUN,,,,"L1D2S2-1,CT4-1",2.0,,450.0,,450.0,
TOM STYLE SUPRA METAL,,,,BOX-1,1.0,,300.0,,300.0,
BUSINENS ,,,,NA,0.0,,400.0,,400.0,
MEXICAN METAL,,,,CT9-1,1.0,,450.0,,450.0,
RADIANT FULL METAL,,,,NA,0.0,,350.0,,350.0,
TUCSON METAL,,,,S2-1,1.0,,600.0,,600.0,
AIRWAY METAL,,,,BOX-1,1.0,,450.0,,450.0,
CONFART METAL,,,,CT5-1,1.0,,300.0,,300.0,
WD WHITE DUST SHEEET,,,,L5D6S1-2,2.0,,300.0,,300.0,
CHANGEZI FULL METAL,,,,CT4-2,2.0,,450.0,,450.0,
RAFA HAMMER SHEET,,,,CT11-1,1.0,,450.0,,450.0,
TR SPRING SHEET,,,,T74S2-1,1.0,,350.0,,350.0,
TOM PACITO BABY FRAME,,,,NA,0.0,,150.0,,150.0,
CODY BIOY METAL,,,,NA,0.0,,300.0,,300.0,
D FULL METAL,,,,D10-1,1.0,,450.0,,450.0,
LE CONIC EYE METAL,,,,"T48S2-3,CT9-2",5.0,,500.0,,500.0,
VENUS METAL,,,,CT1-1,1.0,,400.0,,400.0,
RAFA JOVAN METAL,,,,T42S2-4,4.0,,400.0,,400.0,
MAGIC SHEET ,,,,CT6-1,1.0,,350.0,,350.0,
JACK&JACOB SHEET,,,,"L5D3S3-1,DS3-1",2.0,,400.0,,400.0,
FASHION HUNT FULL METAL,,,,CT8-2,3.0,,400.0,,400.0,
TOM BLUE SHEET,,,,BOX-1,1.0,,350.0,,350.0,
WONDER METAL,,,,"DS3-2,D10-1, BOX-36",39.0,,500.0,,500.0,
EMS SHEET,,,,na,0.0,,400.0,,400.0,
KERZER BABY SHEET,,,,NA,0.0,,350.0,,350.0,
BABY LINE SHEET,,,,CT13-1,1.0,,350.0,,350.0,
MINUS READING+VISION PLUS READING(-),,,,BOX-250,250.0,,200.0,,200.0,
VISION PLUS READING,,,,BOX-24,24.0,,,,,
VARNIKA+SECOND INNINGS READING,,,,BOX-65,65.0,,,,,
TONY BLUE METAL,,,,NA,0.0,,400.0,,400.0,
ESCAPE BRILLIANT SHEET,,,,NA,0.0,,400.0,,400.0,
BREATE METAL,,,,,2.0,,300.0,,300.0,
TDQOYS METAL,,,,"BOX-1,CT4-1",2.0,,350.0,,350.0,
CARNIVAL METAL,,,,NA,0.0,,550.0,,550.0,
SUNFIRE METAL,,,,CT12-1,1.0,,450.0,,450.0,
BELLMONTE SHEET,,,,L5D6S2-1,1.0,,400.0,,400.0,
RAFA TRINGLE SHEET,,,,L6D6S3-4,4.0,,300.0,,300.0,
REFLECT SHEET,,,,CT10-1,1.0,,350.0,,350.0,
GUCCI TR SHEET,,,,NA,0.0,,500.0,,500.0,
GUCCI LADIES,,,,DS4-2,2.0,,600.0,,600.0,
PRADA TR SHEET ,,,,L3D3S3-1,1.0,,500.0,,500.0,
TEN 20 SHEET,,,,NA,0.0,,300.0,,300.0,
TR SHEET,,,,CT11-1,1.0,,500.0,,500.0,
FICTION TR 90 SHEET,,,,NA,0.0,,500.0,,500.0,
VANILLA METAL,,,,NA,0.0,,300.0,,300.0,
BORIS SHEET,,,,L1D3S3-1,2.0,,350.0,,350.0,
ESCAPE ICEBERG SHEET,,,,CT6-1,1.0,,400.0,,400.0,
FIRE SHEET,,,,"T16S2-1,D9-2",3.0,,350.0,,350.0,
VISION SAN SHEET,,,,NA,0.0,,350.0,,350.0,
HIGH STAR SHEET,,,,CT10-1,1.0,,350.0,,350.0,
YANJINW METAL,,,,CT9-1,1.0,,350.0,,350.0,
RELIABLE ,,,,"CT12-1,DS3-1",2.0,,350.0,,350.0,
BRETT METAL,,,,NA,1.0,,500.0,,500.0,
ESCAPE BRILLIANT METAL,,,,DS4-3,3.0,,450.0,,450.0,
HUGO BOSS TR SHEET,,,,L6D6S1-2,2.0,,600.0,,600.0,
CARRERA TR SHEET,,,,"D9-2,CT11-2",4.0,,600.0,,600.0,
CARTIER FULL METAL,,,,BOX-3,3.0,,700.0,,700.0,
